타임스탬프,닉네임,아침저녁형,MBTI,급식만족도,잔소리집중도,반려동물수,숙제성실도
2026. 7. 30 오후 12:56:02,아이스크림요원5,아침형,J,10,4,1,7
2026. 7. 30 오후 1:12:23,구름킹,아침형,J,7,3,0,8
2026. 7. 30 오후 12:57:17,솜사탕챔피언43,아침형,P,6,5,3,4
2026. 7. 30 오후 12:18:02,솜사탕요정46,저녁형,P,5,4,1,7
2026. 7. 30 오후 1:04:17,댕댕이챔피언45,아침형,P,6,3,1,8
2026. 7. 30 오후 12:38:37,치킨수집가,저녁형,J,3,6,1,7
2026. 7. 30 오후 12:36:37,잠꾸러기탐험가,저녁형,J,9,5,1,7
2026. 7. 30 오후 1:16:34,초코매니아24,아침형,P,6,5,0,7
2026. 7. 30 오후 12:46:24,잠꾸러기챔피언,아침형,J,7,2,0,5
2026. 7. 30 오후 12:22:23,떡볶이매니아93,저녁형,P,4,2,1,5
2026. 7. 30 오후 12:48:22,무지개박사,아침형,P,10,6,1,1
2026. 7. 30 오후 12:27:47,달빛매니아90,아침형,J,8,6,4,5
2026. 7. 30 오후 12:37:37,고구마수집가,아침형,P,4,3,1,5
2026. 7. 30 오후 12:56:14,번개덕후17,아침형,J,10,7,0,10
2026. 7. 30 오후 1:10:07,라면요원,저녁형,P,6,3,3,3
2026. 7. 30 오후 12:36:32,우유챔피언92,저녁형,P,6,3,0,5
2026. 7. 30 오후 1:09:23,옥수수수집가9,저녁형,J,9,3,1,3
2026. 7. 30 오후 12:38:05,치킨집사,저녁형,P,5,6,3,3
2026. 7. 30 오후 12:30:42,떡볶이매니아,아침형,J,9,9,3,6
2026. 7. 30 오후 1:13:41,곰돌이박사9,아침형,J,10,4,0,9
2026. 7. 30 오후 12:48:58,토끼요원55,저녁형,P,2,9,2,4
2026. 7. 30 오후 12:44:07,고구마킹,저녁형,J,3,9,0,4
2026. 7. 30 오후 1:02:55,초코대장,저녁형,P,5,2,0,7
2026. 7. 30 오후 1:03:04,번개친구25,아침형,P,9,3,3,5
2026. 7. 30 오후 1:13:14,수달요정,저녁형,J,6,5,0,5
2026. 7. 30 오후 12:19:32,초코친구,아침형,P,10,8,0,1
2026. 7. 30 오후 1:07:43,우유덕후63,저녁형,J,6,3,3,4
2026. 7. 30 오후 1:01:42,댕댕이박사66,아침형,P,2,8,0,3
2026. 7. 30 오후 12:33:07,구름사장님,저녁형,P,7,4,5,2
2026. 7. 30 오후 12:41:29,토끼박사,아침형,P,10,4,2,6
2026. 7. 30 오후 1:00:39,고양이누나,저녁형,P,6,5,0,3
2026. 7. 30 오후 12:55:32,솜사탕요정,아침형,J,4,5,2,7
2026. 7. 30 오후 1:10:50,치킨친구28,저녁형,P,9,6,0,4
2026. 7. 30 오후 12:34:06,구름박사,저녁형,P,6,4,0,5
2026. 7. 30 오후 12:18:04,수달탐험가,아침형,P,4,5,2,2
